Kode HS dan Deskripsi;Nilai Ekspor (USD);Berat Ekspor (Kg);Nilai Impor (USD);Berat Impor (Kg)
[01] Binatang hidup;284330,567;12980,88;11035964;4455379
[02] Daging hewan;1698342,677;309796,21;5372500;1371793
[03] Ikan, krustasea, dan moluska;280955470;58824117,04;17740774;5796869
[04] Susu, mentega, dan telur;39219613,64;3638533,191;87650562;32046489
[05] Produk hewani;3320168,818;1694789,713;7811856;3435010
[06] Pohon hidup dan bunga potong;1492392,212;698873,289;1108250;200811
[07] Sayuran;6993917,628;5148797,453;30449813;27349711
[08] Buah-buahan;84408829,25;111042245,1;89414279;48069061
[09] Kopi, teh, dan rempah-rempah;134923057,4;28422717,69;56924671;16773418
[10] Serealia;280247,096;107394,31;701530238;1793401753
[11] Hasil penggilingan;7659897,285;11956627,87;53556001;94590767
[12] Biji dan buah mengandung minyak;25784040,11;24830931,79;159931552;227725689
[13] Lak, getah, dan damar;16425662,96;5304120,97;7665833;1234481
[14] Bahan anyaman nabati;56924534,01;455625207,4;221112;319991
[15] Lemak dan minyak hewani/nabati;1712755662;2025339271;17816112;8480809
[16] Olahan dari daging, ikan, krustasea, dan moluska;111661021,8;14824651,33;3525566;1033971
[17] Gula dan kembang gula;30872449,88;52466264,82;295763071;468788828
[18] Kakao dan olahannya;112690508,5;26865652,56;61336245;16304194
[19] Olahan dari tepung;114472528,3;49414735,19;34217887;11176920
[20] Olahan dari sayuran, buah, dan kacang;31967268,4;21680978,2;23821887;14486736
[21] Berbagai makanan olahan;132610644,8;54186698,33;97224541;28932090
[22] Minuman, alkohol, dan cuka;12563806,85;22127406,37;13160780;14477440
[23] Ampas dan sisa industri makanan;178555039,8;466513897,4;345355958;616589438
[24] Tembakau dan rokok;131926773,4;11261291,91;128693328;22516107
[25] Garam, belerang, batu, dan semen;45113281,69;1805442030;85162296;1025403724
[26] Bijih logam, terak, dan abu;880597871,7;432514534;152904956;1058696804
[27] Bahan bakar mineral;4487875017;46231392503;3377104621;5887116619
[28] Bahan kimia anorganik;207804014,3;434156878,7;226341063;525804548
[29] Bahan kimia organik;228708024,6;227622245,7;591892936;520552015
[30] Produk farmasi;62398081,4;1983259,036;93472183;2302343
[31] Pupuk;44656951,73;131474206;150777203;602817516
[32] Sari bahan samak dan celup;42500329,61;12953871;113128336;33798624
[33] Minyak atsiri, wewangian, dan kosmetik;67287540,05;9711616,461;125865552;9948460
[34] Sabun dan preparat pembersih;111647459,6;108568164,5;56908431;21418008
[35] Perekat dan enzim;5046400,802;1776619,851;46311683;19574799
[36] Bahan peledak, korek api, dan kembang api;652372,392;378954,39;12086031;2159854
[37] Barang fotografi atau sinematografi;98514,528;24250,519;4438744;724866
[38] Berbagai produk kimia;436653664,4;438728593,3;281718885;179353784
[39] Plastik dan barang dari plastik;220137530;183567069,4;957067753;648220480
[40] Karet dan barang dari karet;407359400;183601683,7;221423795;83267733
[41] Jangat dan kulit mentah/samak;6762461,951;415080,67;42299990;7320393
[42] Barang dari kulit samak;116078573,4;6645723,252;53284565;8675885
[43] Kulit berbulu, bulu tiruan, dan barang daripadanya;2348,954;90;226535;30302
[44] Kayu dan barang dari kayu;321568598,7;514059832,9;37680605;147371306
[45] Gabus dan barang dari gabus;28627,832;14740,5;962281;138917
[46] Barang anyaman;8122592,869;1643589,914;61334;6068
[47] Pulp dari kayu;245809311,1;463924163;112414008;341408925
[48] Kertas, karton, dan barang daripadanya;349714969;432740912,7;127890605;94638821
[49] Produk industri percetakan;2692312,68;419126,796;13462783;2271713
[50] Sutra;12233,58;823,44;169223;13242
[51] Wol, bulu hewan halus atau kasar;23347,45;900,572;3487204;183322
[52] Kapas;42719826,45;14985834,76;115694731;34633926
[53] Serat tekstil nabati lainnya;681917,353;2853470,8;7616349;1522169
[54] Filamen buatan;58904427;20026321,67;150323824;53322268
[55] Serat stapel buatan;149750925;86070659,75;98274130;27765101
[56] Kain kempa, benang khusus, dan benang pintal;11326405,28;2820970,812;47809903;12705091
[57] Karpet dan tekstil penutup lantai lainnya;3097671,316;954739,626;341148;113221
[58] Kain tenunan khusus;3672820,062;256853,418;23669868;1532012
[59] Kain tekstil dilapisi atau dilaminasi;9929742,544;2320493,405;51499467;7102771
[60] Kain rajutan;10579449,99;1670762,511;110031938;14326660
[61] Pakaian dan aksesorinya (rajutan);296165922,7;14788775,75;20867614;1933113
[62] Pakaian dan aksesorinya (bukan rajutan);383286419,5;14772859,2;22417311;1757823
[63] Barang tekstil jadi lainnya;8073765,846;2173256,634;19275173;7425727
[64] Alas kaki;538080738,2;27382643,71;103791812;13041018
[65] Tutup kepala dan bagiannya;5781632,495;378184,216;4235089;493273
[66] Payung, tongkat, dan bagiannya;141660,509;42337,245;2034021;1547300
[67] Barang dari bulu unggas, bunga artifisial, dan wig;24044682,48;591581,696;3609383;897053
[68] Barang dari batu, semen, asbes, atau mika;14068646,01;24037790,3;44122881;101017996
[69] Produk keramik;22724705,41;20494950,57;68687286;144608705
[70] Kaca dan barang dari kaca;28036980,91;47938456,04;42273252;39554925
[71] Logam mulia dan perhiasan/permata;448166234,3;329679,065;171815859;563653
[72] Besi dan baja;1675469126;1535216049;821382808;1049531631
[73] Barang dari besi dan baja;207214009,6;75976952,48;380252165;148439004
[74] Tembaga dan barang daripadanya;266047079,5;33771126,88;115029578;15425687
[75] Nikel dan barang daripadanya;428591504,1;114310270,8;4931980;220606
[76] Aluminium dan barang daripadanya;54078849,91;19741841,1;154566491;61588055
[78] Timbal dan barang daripadanya;3509105,54;1856313,56;6259606;2747961
[79] Seng dan barang daripadanya;1780161,765;875281,069;30698235;11315232
[80] Timah dan barang daripadanya;1654373,65;54324,943;3481957;123072
[81] Logam tidak mulia lainnya;10302320,83;5819789,3;7215532;513457
[82] Perkakas dan peralatan dari logam tidak mulia;5960954,952;421519,39;45972860;9149942
[83] Berbagai barang logam tidak mulia;8178084,842;1949819,633;67113571;22668219
[84] Mesin dan peralatan mekanis serta bagiannya;525103095,2;54341343,4;2752257781;377082160
[85] Mesin dan perlengkapan elektrik serta bagiannya;1164618809;57691355,04;2248709445;139630615
[86] Kereta api, trem, dan bagiannya;4813946,973;2293598,98;24035263;11149615
[87] Kendaraan dan bagiannya;873548826,7;89765526,8;742002456;99977690
[88] Kendaraan udara dan bagiannya;18159756,19;139217,702;13408619;79819
[89] Kapal, perahu, dan struktur terapung;44263297,82;12419893,94;85812100;100235047
[90] Instrumen optik, fotografi, sinematografi, dan medis;63508656,05;2883207,394;281291708;10035491
[91] Jam dan arloji serta bagiannya;2183003,204;19181,149;28011188;1249353
[92] Instrumen musik dan bagiannya;51256204,88;3136679,283;12615663;1023589
[93] Senjata dan amunisi serta bagiannya;565292,825;18046,9;47472029;1251928
[94] Perabotan, lampu, dan alat penerangan;196709446,8;44759413,12;161845092;78680216
[95] Mainan, permainan dan keperluan olahraga;48489563,83;4163785,702;42161632;11171066
[96] Berbagai barang buatan pabrik;26045144,02;7432045,792;54203176;13234323
[97] Karya seni, barang kolektor, dan barang antik;401603,866;61035,906;301844;71480
[98] Kendaraan bermotor dan komponennya (terbongkar tidak lengkap);43651,074;32553,12;30543861;2844258
[99] Piranti lunak, barang digital dan barang kiriman;2125024,595;5117,087;30377318;5959